App,Cycle,Platform
HP Orbit,1c17,Kerberos 1.0 (HP Spectre x360 15) / Intel
HP Orbit,3c16,Sphinx 2.0 (HP Spectre x360 13) / Intel
HP Orbit,3c16,Trifle 1.2 (HP Pavilion Notebook 15) / Intel
HP Orbit,3c16,Parfait 1.2 (HP Pavilion Notebook 17) / Intel
HP Orbit,3c16,Kirin 1.2 (HP OMEN Notebook 15) / Intel
HP Orbit,3c16,Griffin 1.2 (HP OMEN Notebook 17) / Intel
HP Orbit,3c16 softroll,Sphinx 1.0 (HP Spectre x360 13) / Intel
HP JumpStart,1c17,Kerberos 1.0 (HP Spectre x360 15) / Intel
HP JumpStart,3c16,Sphinx 2.0 (HP Spectre x360 13) / Intel
HP JumpStart,3c16,Trifle 1.2 (HP Pavilion Notebook 15) / Intel
HP JumpStart,3c16,Parfait 1.2 (HP Pavilion Notebook 17) / Intel
HP JumpStart,3c16,Kirin 1.2 (HP OMEN Notebook 15) / Intel
HP JumpStart,3c16,Griffin 1.2 (HP OMEN Notebook 17) / Intel
HP JumpStart,3c16,Sphinx 1.0 (HP Spectre x360 13) / Intel
HP Audio Switch,1c17,Kerberos 1.0 (HP Spectre x360 15) / Intel
HP Audio Switch,3c16,Sphinx 2.0 (HP Spectre x360 13) / Intel
HP Audio Switch,3c16,Trifle 1.2 (HP Pavilion Notebook 15) / Intel
HP Audio Switch,3c16,Parfait 1.2 (HP Pavilion Notebook 17) / Intel
HP Audio Switch,3c16,Kirin 1.2 (HP OMEN Notebook 15) / Intel
HP Audio Switch,3c16,Griffin 1.2 (HP OMEN Notebook 17) / Intel
HP Audio Switch,3c16 softroll,Sphinx 1.0 (HP Spectre x360 13) / Intel
HP JumpStart Apps,3c16,Sphinx 2.0 (HP Spectre x360 13) / Intel
HP JumpStart Apps,3c16,Trifle 1.2 (HP Pavilion Notebook 15) / Intel
HP JumpStart Apps,3c16,Parfait 1.2 (HP Pavilion Notebook 17) / Intel
HP JumpStart Apps,3c16,Kirin 1.2 (HP OMEN Notebook 15) / Intel
HP JumpStart Apps,3c16,Griffin 1.2 (HP OMEN Notebook 17) / Intel
